block,flat_type,unit_no,floor,stack,status,size,cost
107A,3-Room,#02-256,02,256,available,68 Sqm,"$314,300"
107A,3-Room,#03-256,03,256,available,68 Sqm,"$317,300"
107A,3-Room,#04-256,04,256,available,68 Sqm,"$320,300"
107A,3-Room,#05-256,05,256,available,68 Sqm,"$329,300"
107A,3-Room,#06-256,06,256,available,68 Sqm,"$331,800"
107A,3-Room,#07-256,07,256,available,68 Sqm,"$334,300"
107A,3-Room,#08-256,08,256,available,68 Sqm,"$336,800"
107A,3-Room,#09-256,09,256,available,68 Sqm,"$337,800"
107A,3-Room,#10-256,10,256,available,68 Sqm,"$338,800"
107A,3-Room,#11-256,11,256,available,68 Sqm,"$339,800"
107A,3-Room,#12-256,12,256,available,68 Sqm,"$340,800"
107A,3-Room,#13-256,13,256,available,68 Sqm,"$340,800"
107A,3-Room,#02-258,02,258,available,68 Sqm,"$314,300"
107A,3-Room,#03-258,03,258,available,68 Sqm,"$317,300"
107A,3-Room,#04-258,04,258,available,68 Sqm,"$320,300"
107A,3-Room,#05-258,05,258,available,68 Sqm,"$329,300"
107A,3-Room,#06-258,06,258,available,68 Sqm,"$331,800"
107A,3-Room,#07-258,07,258,available,68 Sqm,"$334,300"
107A,3-Room,#08-258,08,258,available,68 Sqm,"$336,800"
107A,3-Room,#09-258,09,258,available,68 Sqm,"$337,800"
107A,3-Room,#10-258,10,258,available,68 Sqm,"$338,800"
107A,3-Room,#11-258,11,258,available,68 Sqm,"$339,800"
107A,3-Room,#12-258,12,258,available,68 Sqm,"$340,800"
107A,3-Room,#13-258,13,258,available,68 Sqm,"$340,800"
107A,3-Room,#02-260,02,260,available,68 Sqm,"$320,300"
107A,3-Room,#03-260,03,260,available,68 Sqm,"$323,300"
107A,3-Room,#04-260,04,260,available,68 Sqm,"$326,300"
107A,3-Room,#05-260,05,260,available,68 Sqm,"$329,300"
107A,3-Room,#06-260,06,260,available,68 Sqm,"$331,800"
107A,3-Room,#07-260,07,260,available,68 Sqm,"$334,300"
107A,3-Room,#08-260,08,260,available,68 Sqm,"$336,800"
107A,3-Room,#09-260,09,260,available,68 Sqm,"$337,800"
107A,3-Room,#10-260,10,260,available,68 Sqm,"$338,800"
107A,3-Room,#11-260,11,260,available,68 Sqm,"$339,800"
107A,3-Room,#12-260,12,260,available,68 Sqm,"$340,800"
107A,3-Room,#13-260,13,260,booked,,
107A,3-Room,#02-262,02,262,available,68 Sqm,"$320,300"
107A,3-Room,#03-262,03,262,available,68 Sqm,"$323,300"
107A,3-Room,#04-262,04,262,available,68 Sqm,"$326,300"
107A,3-Room,#05-262,05,262,available,68 Sqm,"$329,300"
107A,3-Room,#06-262,06,262,available,68 Sqm,"$331,800"
107A,3-Room,#07-262,07,262,available,68 Sqm,"$334,300"
107A,3-Room,#08-262,08,262,available,68 Sqm,"$336,800"
107A,3-Room,#09-262,09,262,available,68 Sqm,"$337,800"
107A,3-Room,#10-262,10,262,available,68 Sqm,"$338,800"
107A,3-Room,#11-262,11,262,available,68 Sqm,"$339,800"
107A,3-Room,#12-262,12,262,booked,,
107A,3-Room,#13-262,13,262,available,68 Sqm,"$340,800"
107A,3-Room,#02-264,02,264,available,68 Sqm,"$320,300"
107A,3-Room,#03-264,03,264,available,68 Sqm,"$323,300"
107A,3-Room,#04-264,04,264,available,68 Sqm,"$326,300"
107A,3-Room,#05-264,05,264,available,68 Sqm,"$329,300"
107A,3-Room,#06-264,06,264,available,68 Sqm,"$331,800"
107A,3-Room,#07-264,07,264,available,68 Sqm,"$334,300"
107A,3-Room,#08-264,08,264,available,68 Sqm,"$336,800"
107A,3-Room,#09-264,09,264,booked,,
107A,3-Room,#10-264,10,264,booked,,
107A,3-Room,#11-264,11,264,booked,,
107A,3-Room,#12-264,12,264,booked,,
107A,3-Room,#13-264,13,264,booked,,
107A,3-Room,#14-264,14,264,booked,,
107A,3-Room,#15-264,15,264,booked,,
107A,3-Room,#16-264,16,264,booked,,
107A,3-Room,#02-266,02,266,available,68 Sqm,"$314,300"
107A,3-Room,#03-266,03,266,available,68 Sqm,"$323,300"
107A,3-Room,#04-266,04,266,available,68 Sqm,"$326,300"
107A,3-Room,#05-266,05,266,available,68 Sqm,"$329,300"
107A,3-Room,#06-266,06,266,available,68 Sqm,"$331,800"
107A,3-Room,#07-266,07,266,available,68 Sqm,"$334,300"
107A,3-Room,#08-266,08,266,available,68 Sqm,"$336,800"
107A,3-Room,#09-266,09,266,available,68 Sqm,"$337,800"
107A,3-Room,#10-266,10,266,available,68 Sqm,"$338,800"
107A,3-Room,#11-266,11,266,available,68 Sqm,"$339,800"
107A,3-Room,#12-266,12,266,available,68 Sqm,"$340,800"
107A,3-Room,#13-266,13,266,available,68 Sqm,"$341,800"
107A,3-Room,#14-266,14,266,available,68 Sqm,"$342,800"
107A,3-Room,#15-266,15,266,booked,,
107A,3-Room,#16-266,16,266,available,68 Sqm,"$343,800"
107A,4-Room,#02-268,02,268,available,93 Sqm,"$452,400"
107A,4-Room,#03-268,03,268,available,93 Sqm,"$456,900"
107A,4-Room,#04-268,04,268,available,93 Sqm,"$461,400"
107A,4-Room,#05-268,05,268,available,93 Sqm,"$465,900"
107A,4-Room,#06-268,06,268,available,93 Sqm,"$469,400"
